,OBJECTID,SOURCE,VIL_UID,CENTER,CNTR_CODE,AFG_UID,POPULATION,LANGUAGE_,LANG_CODE,ELEVATION,LAT_Y,LON_X,MISTI_PROV,MISTI_DIST,VILLAGE_NA,DIST_CODE,DIST_NA_EN,DIST_NA_DA,PROV_NA_EN,PROV_NA_DA,PROV_CODE
19850,19851,Yale POP_MASTER,ZGS-013,District,1,PKK-ZGS-013,900,Pashto,2,2120.4021,32.85,68.4465,PKK,ZGS,Zarghun Shahr,2505,Zarghunshahr,????? ???,Paktika,??????,25
19984,19985,Yale POP_MASTER,JK1-098,District,1,PKK-JK1-098,796,Pashto,2,2051.7338870000003,32.7698,68.4042,PKK,JK1,Jani Khel,2512,Janikhel,???? ???,Paktika,??????,25
20246,20247,Yale POP_MASTER,BAH-130,District,1,BLK-BAH-130,12700,Pashto,2,344.96521,36.758,66.893,BLK,BAH,Balkh,1805,Balkh,???,Balkh,???,18
20318,20319,Yale POP_MASTER,DW2-087,District,1,BLK-DW2-087,13600,Pashto,2,312.0042114,36.9896,66.8229,BLK,DW2,Dawlat Abad,1804,Dawlatabad,???? ????,Balkh,???,18
20438,20439,Yale POP_MASTER,GWN-051,District,1,FYB-GWN-051,5000,Dari,1,1334.1459960000002,35.7058,65.2327,FYB,GWN,Garziwan,2808,Garziwan,???????,Faryab,??????,28
20475,20476,Yale POP_MASTER,BIH-032,District,1,FYB-BIH-032,5000,Uzbek,3,1165.223999,35.8377,65.2331,FYB,BIH,Bil Cheragh,2809,Bilcheragh,??????,Faryab,??????,28
20519,20520,Yale POP_MASTER,DAB-025,District,1,JWJ-DAB-025,1303,Uzbek,3,1209.530029,35.9766,65.393,JWJ,DAB,Awlad (darz Ab),2711,Darzab,??? ??,Jawzjan,??????,27
20579,20580,Yale POP_MASTER,CHA-021,District,1,GOR-CHA-021,1444,Dari,1,2128.5239260000003,35.055,65.0561,GOR,CHA,Khonya,2102,Charsadra,??? ?? ??,Ghor,???,21
20787,20788,Yale POP_MASTER,KT2-100,District,1,FYB-KT2-100,1788,Dari,1,1956.2409670000002,35.381,64.7752,FYB,KT2,Kohestan (qal`a),2807,Kohestan,???????,Faryab,??????,28
20939,20940,Yale POP_MASTER,KNT-158,District,1,SRP-KNT-158,1073,Dari,1,1752.015991,35.7655,65.7637,SRP,KNT,Kohestanat,2003,Kohestanat,?????????,Sar-e-Pul,????,20
21020,21021,Yale POP_MASTER,SYD-090,District,1,SRP-SYD-090,3832,Dari,1,915.3261719000001,36.1413,65.8308,SRP,SYD,Sayad,2002,Sayad,????,Sar-e-Pul,????,20
21298,21299,Yale POP_MASTER,SZQ-077,District,1,SRP-SZQ-077,150,Uzbek,3,858.4172973999999,36.1006,66.2059,SRP,SZQ,Sozma Qala,2004,Sozmaqala,????? ????,Sar-e-Pul,????,20
21360,21361,Yale POP_MASTER,SLG-120,District,1,BLK-SLG-120,13300,Dari,1,582.0739136,36.3421,66.8789,BLK,SLG,Sholgareh,1814,Sholgareh,??????,Balkh,???,18
21413,21414,Yale POP_MASTER,CEL-170,District,1,BLK-CEL-170,8973,Dari,1,398.06878660000007,36.6609,66.77,BLK,CEL,Chemtal,1813,Chemtal,?????,Balkh,???,18
21512,21513,Yale POP_MASTER,DDI-063,District,1,BLK-DDI-063,25061,Dari,1,392.21249389999997,36.6666,66.9777,BLK,DDI,Deh Dadi,1806,Dehdadi,??????,Balkh,???,18
21592,21593,Yale POP_MASTER,SGC-132,District,1,SRP-SGC-132,1000,Dari,1,1218.7459720000002,35.9427,66.4214,SRP,SGC,Sang(san)charak,2007,Sancharak(sangchark),???????,Sar-e-Pul,????,20
