OBJECTID,SOURCE,VIL_UID,CENTER,CNTR_CODE,AFG_UID,POPULATION,LANGUAGE_,LANG_CODE,ELEVATION,LAT_Y,LON_X,MISTI_PROV,MISTI_DIST,VILLAGE_NA,DIST_CODE,DIST_NA_EN,DIST_NA_DA,PROV_NA_EN,PROV_NA_DA,PROV_CODE
41244,Yale POP_MASTER,WRJ-076,NA,0,TKR-WRJ-076,844,Dari,1,1927.785034,36.1956,70.0062,TKR,WRJ,Papani,1616,Warsaj,????,Takhar,????,16
41893,Yale POP_MASTER,HDK-049,NA,0,KAP-HDK-049,844,Dari,1,1522.449951,35.07,69.2979,KAP,HDK,Sefatulla Khail,204,Hisa-e- Duwum-e- Kohestan,??? ??? ???????,Kapisa,??????,2
1427,Yale POP_MASTER,KRB-114,NA,0,HRT-KRB-114,1069,Dari,1,906.7293701,34.9692,62.0179,HRT,KRB,Khowja Sabz Push,3003,Kushk,????,Hirat,????,30
6692,Yale POP_MASTER,QDS-111,NA,0,BDG-QDS-111,1276,Pashto,2,1886.780029,34.7644,63.7108,BDG,QDS,Nai Yak,2904,Qadis,?????,Badghis,??????,29
7018,Yale POP_MASTER,MOQ-026,NA,0,BDG-MOQ-026,843,Pashto,2,601.0029907,35.3111,62.9623,BDG,MOQ,Dahan Babalay Omer Zai,2902,Muqur,???,Badghis,??????,29
17434,Yale POP_MASTER,DUA-040,NA,0,GOR-DUA-040,1678,Dari,1,2714.052002,34.0177,64.8429,GOR,DUA,Chail Gazi,2103,DoLayna,?? ????,Ghor,???,21
18595,Yale POP_MASTER,AND-155,NA,0,GZN-AND-155,843,Pashto,2,2089.697998,33.372,68.5525,GZN,AND,Mahter Gadi,1105,Andar,????,Ghazni,????,11
19410,CCI Field Team,GLN-104,NA,0,GZN-GLN-104,843,Pashto,2,1966.572021,32.708697,67.655482,GZN,GLN,Muryani,1118,Gelan,?????,Ghazni,????,11
19412,CCI Field Team,GLN-162,NA,0,GZN-GLN-162,843,Pashto,2,1966.651001,32.7034,67.6522,GZN,GLN,Latif,1118,Gelan,?????,Ghazni,????,11
19432,CCI Field Team,GLN-163,NA,0,GZN-GLN-163,843,Pashto,2,1968.475952,32.7034,67.6522,GZN,GLN,Shahidan,1118,Gelan,?????,Ghazni,????,11
